student_id,gender,age,parental_education,family_income,internet_access,study_environment,study_hours_per_day,attendance_rate,sleep_hours,social_media_hours,assignment_completion_rate,participation_score,online_courses_completed,tutoring,math_score,reading_score,writing_score,science_score,final_exam_score,previous_gpa,pass_fail
S00001,Male,17,High School,Medium,Yes,Quiet,2.98,96.5,6.05,0.1,80.5,68.7,1,Yes,42.8,62.4,54.8,51.8,49.1,2.44,Fail
S00002,Female,18,High School,Low,Yes,Quiet,4.45,95.7,6.96,2.9,70.9,92.6,0,Yes,77.9,73.5,64.4,61.6,70.1,2.79,Pass
S00003,Male,17,High School,Medium,No,Quiet,3.75,76,7.02,2.4,77.6,45.8,4,Yes,53.5,38.3,36.3,47.1,42.2,1.49,Fail
S00004,Male,18,Bachelor,Medium,Yes,Quiet,2.03,72.6,6.23,3.5,63.5,72.9,4,No,28.3,23.5,32,39,31.9,1.34,Fail
S00005,Male,18,Bachelor,Medium,Yes,Quiet,5.14,87.3,8.54,2.1,71.8,55.7,0,No,74.7,54.9,73.6,55.5,66.4,2.6,Pass
S00006,Female,17,Master,Medium,Yes,Quiet,1.16,92,8.16,2.6,100,76.3,2,No,40.3,42.2,44.1,30,40.9,1.61,Fail
S00007,Male,16,High School,High,Yes,Quiet,3.33,74.2,7.34,3.9,81.3,41.8,1,No,52.1,48.4,49.4,47.8,47.1,1.35,Fail
S00008,Male,18,Bachelor,Low,Yes,Moderate,2.01,88,6.58,0,87.3,74.9,4,No,45.6,57.1,47.4,67,57,2.52,Pass
S00009,Male,17,Master,Medium,Yes,Moderate,1.22,70.4,7.96,1.1,79.6,99.1,2,No,23.9,26.9,32.3,32.8,30.2,1.2,Fail
S00010,Female,15,Master,Low,Yes,Quiet,1.64,95.6,7.51,1.7,81,61.8,2,Yes,59.6,46.2,68,48.3,54.8,2.02,Pass
S00011,Male,17,Master,Medium,Yes,Noisy,2.94,79.3,6.56,2.3,82,47.4,1,No,57.1,49.5,55.5,55.7,55.2,2.39,Pass
S00012,Male,15,Bachelor,Low,Yes,Moderate,3.42,83.4,7.97,0.4,76.4,79.9,6,No,60.8,57.5,65.4,58.3,60.9,2.27,Pass
S00013,Male,18,Master,Low,No,Moderate,4.27,93.6,7.37,1.1,88.9,65.3,0,No,56.2,57.9,38.2,37.4,49,2.01,Fail
S00014,Male,17,High School,Medium,Yes,Noisy,4.77,92.7,5.34,3.5,69.3,84.2,6,No,57,55.4,67.6,49.7,57.4,2.45,Pass
S00015,Female,17,Bachelor,Medium,Yes,Quiet,3.33,89.7,6.01,3.2,57.8,86.5,2,Yes,51.4,41.1,57.4,44.3,49.4,2.14,Fail
S00016,Male,15,High School,High,Yes,Moderate,2.47,95.3,5.67,0,83,85.5,1,Yes,63.6,55.4,54.3,63.5,58.8,2.25,Pass
S00017,Female,17,High School,Medium,Yes,Moderate,4.25,89.1,8.03,2.2,96.8,69.6,4,No,47.5,44.7,44.8,46.8,47.5,1.89,Fail
S00018,Female,17,High School,High,Yes,Quiet,2.26,99.5,6.3,2.3,70.3,97.4,5,No,42.3,46.2,43.6,49.4,45.4,2.11,Fail
S00019,Female,18,High School,Medium,Yes,Quiet,1.09,67.9,7.63,1.1,91.8,81.9,1,Yes,56.1,58.8,64,64.9,61.2,3.01,Pass
